entry_zscore,lookback,max_holding_days,max_positions_per_side,min_history,min_holding_days,n_components,vol_target,zscore_window,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,beta_mean_abs,avg_positions,avg_gross,total_costs,elapsed_s,combo_key
1.0,189,120,30,126,63,5,0.08,90,-0.11678608338226892,-0.004965416839746828,0.058633508173235836,-0.38415478093013916,-0.5325439550714527,-0.01638297810533914,-0.30308389645766665,0.07048942336433696,59.809129950691904,1.464669819650628,193489.39576923338,110.30916738510132,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 126, ""min_holding_days"": 63, ""n_components"": 5, ""vol_target"": 0.08, ""zscore_window"": 90}"
1.0,189,120,30,126,63,10,0.1,60,0.25609058406695007,0.009180914173007926,0.06270848910625494,-0.133602508912378,-0.15710694918025336,0.04247744777033624,-0.21613620061748007,0.0675995580437188,59.809129950691904,1.6789344091046705,241280.10460483842,109.19341611862183,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 126, ""min_holding_days"": 63, ""n_components"": 10, ""vol_target"": 0.1, ""zscore_window"": 60}"
1.0,189,120,30,252,21,8,0.15,40,0.6061264710863261,0.019173703847627177,0.08156185175923703,0.019798204247320705,0.08263384813666781,0.06664584503458759,-0.28769541203471105,0.08285834565353063,59.809129950691904,2.018604274252537,530780.0808328087,110.70827507972717,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 21, ""n_components"": 8, ""vol_target"": 0.15, ""zscore_window"": 40}"
1.0,189,120,30,252,21,10,0.1,60,0.9020131985525948,0.02610460084191102,0.06495847971362452,0.1315559605439861,0.24147765467530374,0.19639396191734107,-0.13291956935467297,0.06807122113048901,59.809129950691904,1.6460658543341657,400535.3497031711,112.26702547073364,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 21, ""n_components"": 10, ""vol_target"": 0.1, ""zscore_window"": 60}"
1.0,189,120,30,252,42,8,0.08,90,0.09922054444967521,0.0037990760809751833,0.059444385658796714,-0.23147433376993293,-0.29788851949456147,0.011396105345196283,-0.3333661778211431,0.0678593445543407,59.809129950691904,1.4662562542585174,288203.3957027826,111.15435814857483,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 42, ""n_components"": 8, ""vol_target"": 0.08, ""zscore_window"": 90}"
1.0,189,120,30,252,63,8,0.15,90,-0.08517410125809155,-0.0035618647133204284,0.07974883778871401,-0.26484135627137045,-0.3422841836237049,-0.009129275858617425,-0.3901585151420599,0.09086940176653792,59.809129950691904,2.019864521984519,321089.3653921037,110.88134002685547,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 8, ""vol_target"": 0.15, ""zscore_window"": 90}"
1.0,189,120,50,126,21,5,0.15,90,0.046265452988367706,0.0018144694153545693,0.0756908669095016,-0.2080099868743492,-0.2477716909286324,0.004838743747379517,-0.3749877055045988,0.09496602658080232,99.68188325115317,2.19153348557506,413340.9181773291,112.32889485359192,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 21, ""n_components"": 5, ""vol_target"": 0.15, ""zscore_window"": 90}"
1.0,189,120,50,126,42,5,0.1,90,-0.0863401562637719,-0.003612804114292101,0.06090413312443708,-0.3476238586097747,-0.46324471532248396,-0.01049725678752209,-0.34416649867864335,0.07755033898824198,99.68188325115317,1.8013172723335797,276158.834370722,111.75169014930725,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 5, ""vol_target"": 0.1, ""zscore_window"": 90}"
1.0,189,120,50,126,42,8,0.1,40,0.3158108908000783,0.011061556588572108,0.05843314382292459,-0.11119321388603676,-0.12551732307800245,0.048536268792898955,-0.227902903615666,0.06228838650451491,99.68188325115317,1.8496288730011285,335149.84013154934,116.93940138816833,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 8, ""vol_target"": 0.1, ""zscore_window"": 40}"
1.0,189,120,50,252,63,5,0.2,60,-0.14790575494193103,-0.006395028353942345,0.08422355292410845,-0.2844092082322235,-0.3624843590336945,-0.014283728172309091,-0.44771422956227624,0.09277948684683589,99.68188325115317,2.602876987635131,386136.1323707161,115.59438586235046,"{""entry_zscore"": 1.0, ""lookback"": 189, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 5, ""vol_target"": 0.2, ""zscore_window"": 60}"
