beta_lookback,n_buckets,tc_bps,vol_window,long_short_style,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,beta_mean_abs,avg_positions,avg_gross,total_costs,elapsed_s,long_buckets,short_buckets,combo_key
126,3,10,60,extreme_only,0.2525362993304851,0.0090662974793542,0.0448165325339063,-0.1894976627638172,-0.2527240587976926,0.046158334327594,-0.1964173450239585,0.0540809114818825,308.3225703833307,0.9968188325115316,59403.85552202206,67.72450518608093,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 60}"
126,3,10,60,extreme_plus_one,0.2779331807398169,0.0098785206527653,0.0341854489810507,-0.2246688349537262,-0.3202273255040003,0.0740844851242841,-0.1333412878039604,0.0406865143247419,461.9611897566407,0.9968188325115316,45834.76598434064,94.73014378547668,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 60}"
126,3,10,90,extreme_only,0.2525362993304851,0.0090662974793542,0.0448165325339063,-0.1894976627638172,-0.2527240587976926,0.046158334327594,-0.1964173450239585,0.0540809114818825,308.3225703833307,0.9968188325115316,59403.85552202206,67.43479824066162,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 90}"
126,3,10,90,extreme_plus_one,0.2779331807398169,0.0098785206527653,0.0341854489810507,-0.2246688349537262,-0.3202273255040003,0.0740844851242841,-0.1333412878039604,0.0406865143247419,461.9611897566407,0.9968188325115316,45834.76598434064,94.01971864700316,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 90}"
126,3,10,126,extreme_only,0.2525362993304851,0.0090662974793542,0.0448165325339063,-0.1894976627638172,-0.2527240587976926,0.046158334327594,-0.1964173450239585,0.0540809114818825,308.3225703833307,0.9968188325115316,59403.85552202206,82.33510041236877,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 126}"
126,3,10,126,extreme_plus_one,0.2779331807398169,0.0098785206527653,0.0341854489810507,-0.2246688349537262,-0.3202273255040003,0.0740844851242841,-0.1333412878039604,0.0406865143247419,461.9611897566407,0.9968188325115316,45834.76598434064,95.17954802513124,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 126}"
126,3,15,40,extreme_only,0.2230465598146549,0.0081031042253434,0.044836154201162,-0.2108972455563462,-0.2846488209491778,0.0401401967023655,-0.2018700676886795,0.0540771991814253,308.3225703833307,0.9968188325115316,88033.47533271613,67.3403639793396,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 40}"
126,3,15,40,extreme_plus_one,0.2540994968421457,0.0091167450557994,0.0342012015755105,-0.2468387133495813,-0.3538675510045936,0.0670749224333337,-0.1359188311378311,0.0406974452329319,461.9611897566407,0.9968188325115316,68091.87184568332,93.5261092185974,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 40}"
126,3,15,60,extreme_only,0.2230465598146549,0.0081031042253434,0.044836154201162,-0.2108972455563462,-0.2846488209491778,0.0401401967023655,-0.2018700676886795,0.0540771991814253,308.3225703833307,0.9968188325115316,88033.47533271613,69.12431764602661,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 60}"
126,3,15,60,extreme_plus_one,0.2540994968421457,0.0091167450557994,0.0342012015755105,-0.2468387133495813,-0.3538675510045936,0.0670749224333337,-0.1359188311378311,0.0406974452329319,461.9611897566407,0.9968188325115316,68091.87184568332,93.59168553352356,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 60}"
126,3,15,90,extreme_only,0.2230465598146549,0.0081031042253434,0.044836154201162,-0.2108972455563462,-0.2846488209491778,0.0401401967023655,-0.2018700676886795,0.0540771991814253,308.3225703833307,0.9968188325115316,88033.47533271613,67.51975846290588,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 90}"
126,3,15,90,extreme_plus_one,0.2540994968421457,0.0091167450557994,0.0342012015755105,-0.2468387133495813,-0.3538675510045936,0.0670749224333337,-0.1359188311378311,0.0406974452329319,461.9611897566407,0.9968188325115316,68091.87184568332,95.21818900108336,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 90}"
126,3,15,126,extreme_only,0.2230465598146549,0.0081031042253434,0.044836154201162,-0.2108972455563462,-0.2846488209491778,0.0401401967023655,-0.2018700676886795,0.0540771991814253,308.3225703833307,0.9968188325115316,88033.47533271613,67.89139986038208,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 126}"
126,3,15,126,extreme_plus_one,0.2540994968421457,0.0091167450557994,0.0342012015755105,-0.2468387133495813,-0.3538675510045936,0.0670749224333337,-0.1359188311378311,0.0406974452329319,461.9611897566407,0.9968188325115316,68091.87184568332,94.55962634086607,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 15, ""vol_window"": 126}"
126,5,5,40,extreme_only,0.5388803378743159,0.017427982201734,0.0573992058862812,-0.002281276264231,0.0359599647412087,0.0861151990940002,-0.2023798630798062,0.0678661662773909,185.3839669158581,0.9968188325115316,43450.15597809132,46.47745728492737,[1],[5],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 40}"
126,5,5,40,extreme_plus_one,0.2677761943457131,0.0095555633480224,0.0400687740681122,-0.1997406330945112,-0.2713643604852593,0.0567607628381877,-0.1683480430885541,0.0481894568256962,369.76316208048354,0.9968188325115316,26806.934609925665,78.63486981391907,"[1, 2]","[4, 5]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 40}"
126,5,5,60,extreme_only,0.5388803378743159,0.017427982201734,0.0573992058862812,-0.002281276264231,0.0359599647412087,0.0861151990940002,-0.2023798630798062,0.0678661662773909,185.3839669158581,0.9968188325115316,43450.15597809132,46.4453980922699,[1],[5],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 60}"
126,5,5,60,extreme_plus_one,0.2677761943457131,0.0095555633480224,0.0400687740681122,-0.1997406330945112,-0.2713643604852593,0.0567607628381877,-0.1683480430885541,0.0481894568256962,369.76316208048354,0.9968188325115316,26806.934609925665,78.97768783569336,"[1, 2]","[4, 5]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 60}"
126,5,5,90,extreme_only,0.5388803378743159,0.017427982201734,0.0573992058862812,-0.002281276264231,0.0359599647412087,0.0861151990940002,-0.2023798630798062,0.0678661662773909,185.3839669158581,0.9968188325115316,43450.15597809132,46.51510310173035,[1],[5],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 90}"
126,5,5,90,extreme_plus_one,0.2677761943457131,0.0095555633480224,0.0400687740681122,-0.1997406330945112,-0.2713643604852593,0.0567607628381877,-0.1683480430885541,0.0481894568256962,369.76316208048354,0.9968188325115316,26806.934609925665,82.02249193191528,"[1, 2]","[4, 5]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 90}"
126,5,5,126,extreme_only,0.5388803378743159,0.017427982201734,0.0573992058862812,-0.002281276264231,0.0359599647412087,0.0861151990940002,-0.2023798630798062,0.0678661662773909,185.3839669158581,0.9968188325115316,43450.15597809132,49.40909790992737,[1],[5],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 126}"
126,5,5,126,extreme_plus_one,0.2677761943457131,0.0095555633480224,0.0400687740681122,-0.1997406330945112,-0.2713643604852593,0.0567607628381877,-0.1683480430885541,0.0481894568256962,369.76316208048354,0.9968188325115316,26806.934609925665,85.4350016117096,"[1, 2]","[4, 5]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 5, ""tc_bps"": 5, ""vol_window"": 126}"
126,5,10,40,extreme_only,0.4930632169762061,0.0161961049115817,0.0574179767320913,-0.0237350880976736,0.0040824282537052,0.0793296697055109,-0.2041620111580601,0.0678859316961895,185.3839669158581,0.9968188325115316,85535.0583656687,47.05683445930481,[1],[5],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 5, ""tc_bps"": 10, ""vol_window"": 40}"
126,5,10,40,extreme_plus_one,0.2406385575888447,0.0086803405847004,0.0400828741087549,-0.2215056993896647,-0.3037911944779281,0.0504232331116188,-0.1721496232795173,0.0481845115847768,369.76316208048354,0.9968188325115316,53025.44394617264,78.40094232559204,"[1, 2]","[4, 5]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 5, ""tc_bps"": 10, ""vol_window"": 40}"
